INSPECTION_TYPE,BORO_CODE,STREET_NAME,ZIP_CODE,LATITUDE,LONGITUDE,BOROUGH,INSPECTION_DATE,RESULT
Initial,3,MELROSE STREET,11206,40.69781675,-73.935616,Brooklyn,2023-04-26 13:52:00,Passed
Initial,2,ARTHUR AVENUE,10457,40.8483176,-73.89221465,Bronx,2023-12-11 16:26:00,Passed
Initial,4,BEACH  43 STREET,11691,40.59750058,-73.77498663,Queens,2023-12-21 10:50:00,Failed for Other R
Compliance,3,FULTON STREET,11216,40.68016468,-73.94535322,Brooklyn,2023-08-21 16:05:00,Passed
Compliance,1,EAST 1 STREET,10009,40.72316021,-73.98819194,Manhattan,2023-12-14 09:08:00,Failed for Other R
Initial,1,WEST 142 STREET,10030,40.81916723,-73.93916167,Manhattan,2023-01-11 13:14:00,Passed
Initial,2,HUGHES AVENUE,10457,40.8481407,-73.89091371,Bronx,2023-09-13 12:13:00,Passed
Initial,1,WEST 146 STREET,10039,40.82248279,-73.93898881,Manhattan,2023-04-12 13:34:00,Passed
Initial,1,EAST BROADWAY,10002,40.71437673,-73.98618066,Manhattan,2023-09-13 08:56:00,Passed
Initial,1,ST MARKS PLACE,10003,40.72780683,-73.98579182,Manhattan,2023-11-09 08:40:00,Passed
Initial,2,MICKLE AVENUE,10469,40.86605734,-73.8406974,Bronx,2023-03-06 15:51:00,Passed
Initial,1,EAST 15 STREET,10003,40.73291188,-73.98418866,Manhattan,2023-08-11 12:27:00,Passed
Compliance,5,HILLMAN AVENUE,10314,40.6127725,-74.16168888,Staten Island,2023-08-11 15:15:00,Failed for Other R
Initial,2,BARNES AVENUE,10470,40.9049019,-73.84766553,Bronx,2023-08-08 10:04:00,Passed
Compliance,3,BRIGHTON 8 PLACE,11235,40.58053797,-73.96036418,Brooklyn,2023-06-26 14:00:00,Rat Activity
Initial,1,WEST 90 STREET,10024,40.78872358,-73.96950632,Manhattan,2023-08-02 15:50:00,Passed
Initial,1,WEST 88 STREET,10024,40.78798855,-73.97168424,Manhattan,2023-08-18 08:08:00,Passed
Compliance,1,WEST 73 STREET,10023,40.78019847,-73.98328552,Manhattan,2023-11-17 09:20:00,Passed
Initial,4,FLUSHING AVENUE,11378,40.71530241,-73.91290196,Queens,2023-11-28 12:45:00,Passed
Initial,1,EAST 91 STREET,10128,40.77980292,-73.94643742,Manhattan,2023-10-20 12:15:00,Passed
Initial,1,WEST 85 STREET,10024,40.78497731,-73.9706997,Manhattan,2023-08-04 15:15:00,Passed
Compliance,4,45 STREET,11377,40.7387071,-73.92054667,Queens,2023-02-24 13:05:00,Rat Activity
Initial,3,LORIMER STREET,11222,40.72284306,-73.95127801,Brooklyn,2023-03-20 13:05:00,Rat Activity
Compliance,1,EAST 106 STREET,10029,40.79202773,-73.9457522,Manhattan,2023-04-27 10:57:00,Rat Activity
Initial,1,EAST 119 STREET,10035,40.79748025,-73.93291154,Manhattan,2023-08-17 13:57:00,Passed
Compliance,1,3 AVENUE,10003,40.73249511,-73.98774286,Manhattan,2023-12-27 09:00:00,Passed
Compliance,1,WEST 85 STREET,10024,40.78486197,-73.97047225,Manhattan,2023-09-01 09:18:00,Failed for Other R
Initial,4,GATES AVENUE,11385,40.7023937,-73.90928706,Queens,2023-07-31 14:24:00,Passed
Initial,3,LAFAYETTE AVENUE,11221,40.69076143,-73.94366052,Brooklyn,2023-01-11 13:56:00,Passed
Initial,1,3 AVENUE,10028,40.7753003,-73.95653616,Manhattan,2023-10-13 14:29:00,Passed
Initial,3,WILLOUGHBY AVENUE,11206,40.69541518,-73.93579142,Brooklyn,2023-07-05 08:42:00,Passed
Initial,4,34 AVENUE,11106,40.75846946,-73.9247174,Queens,2023-04-28 13:00:00,Rat Activity
Initial,1,THOMPSON STREET,10012,40.72687723,-74.00094888,Manhattan,2023-02-01 08:25:00,Passed
Initial,3,GREENE AVENUE,11237,40.70017111,-73.91744793,Brooklyn,2023-12-04 10:40:00,Rat Activity
Initial,1,WEST 94 STREET,10025,40.79077584,-73.96659459,Manhattan,2023-08-21 08:55:00,Passed
Initial,2,TINTON AVENUE,10455,40.81211877,-73.90653227,Bronx,2023-08-28 11:08:00,Passed
Compliance,1,AUDUBON AVENUE,10033,40.84637026,-73.93404758,Manhattan,2023-10-12 08:35:00,Rat Activity
Compliance,3,MADISON STREET,11216,40.68487917,-73.94907397,Brooklyn,2023-10-20 12:00:00,Rat Activity
Initial,1,FREDRICK DOUGLASS BL,10026,40.80279998,-73.95655787,Manhattan,2023-05-02 12:10:00,Passed
Initial,4,CORNELIA STREET,11385,40.69833822,-73.90747859,Queens,2023-07-21 08:08:00,Passed
Initial,3,BLEEKER STREET,11237,40.69969575,-73.91674166,Brooklyn,2023-08-22 16:16:00,Failed for Other R
Compliance,2,GRANT AVENUE,10456,40.82916933,-73.91756912,Bronx,2023-07-31 15:22:00,Rat Activity
Initial,2,RYER AVENUE,10457,40.85035426,-73.90146482,Bronx,2023-11-13 12:15:00,Rat Activity
Initial,3,ALBERMARLE ROAD,11226,40.64711861,-73.96149204,Brooklyn,2023-06-06 10:10:00,Passed
Initial,1,WEST 131 STREET,10027,40.81178046,-73.9432181,Manhattan,2023-11-03 16:20:00,Passed
Initial,2,WEBSTER AVENUE,10457,40.85603078,-73.89570499,Bronx,2023-07-14 15:29:00,Rat Activity
Initial,1,WEST 125 STREET,10027,40.80725215,-73.94428761,Manhattan,2023-06-02 14:14:00,Passed
Initial,3,MONTAGUE STREET,11201,40.69532056,-73.99627479,Brooklyn,2023-02-08 14:45:00,Passed
Initial,2,NEEDHAM AVENUE,10469,40.87800689,-73.85228014,Bronx,2023-08-15 08:40:00,Failed for Other R
Initial,1,2 AVENUE,10035,40.80421292,-73.93256519,Manhattan,2023-08-11 07:30:00,Passed
Initial,3,SUYDAM STREET,11237,40.70417322,-73.92169163,Brooklyn,2023-08-11 15:26:00,Passed
Compliance,1,EAST 9 STREET,10003,40.72960492,-73.98820884,Manhattan,2023-12-21 11:50:00,Passed
Initial,1,WEST 11 STREET,10011,40.73493583,-73.99718548,Manhattan,2023-05-02 13:41:00,Passed
Compliance,1,7 AVENUE SOUTH,10014,40.73608591,-74.00138563,Manhattan,2023-05-17 15:35:00,Rat Activity
Initial,3,EAST   17 STREET,11226,40.64999876,-73.96417516,Brooklyn,2023-08-28 16:05:00,Rat Activity
Initial,3,TOMPKINS AVENUE,11216,40.68772901,-73.94479892,Brooklyn,2023-01-18 11:23:00,Rat Activity
Compliance,2,WEBSTER AVENUE,10456,40.8354282,-73.90786181,Bronx,2023-12-22 12:44:00,Rat Activity
Initial,2,COMMONWEALTH AVENUE,10472,40.83191755,-73.86829372,Bronx,2023-05-25 12:47:00,Passed
Initial,1,WEST 124 STREET,10027,40.80770378,-73.947448,Manhattan,2023-08-04 11:13:00,Passed
Initial,1,WEST 52 STREET,10019,40.76498494,-73.9886177,Manhattan,2023-07-07 14:12:00,Failed for Other R
Compliance,2,MORRIS AVENUE,10453,40.84919055,-73.90816799,Bronx,2023-09-20 15:50:00,Rat Activity
Initial,1,WEST 19 STREET,10011,40.74318936,-74.00110069,Manhattan,2023-06-30 15:09:00,Failed for Other R
Initial,3,SUYDAM STREET,11237,40.70315558,-73.92269187,Brooklyn,2023-12-12 14:57:00,Passed
Initial,1,ADAM C POWELL BLVD,10030,40.8204659,-73.93993727,Manhattan,2023-12-13 16:00:00,Passed
Initial,2,UNIVERSITY AVENUE,10453,40.85796907,-73.90924395,Bronx,2023-10-19 09:44:00,Rat Activity
Initial,3,BROADWAY,11221,40.69619635,-73.93387936,Brooklyn,2023-11-17 14:33:00,Passed
Compliance,2,EAST 210 STREET,10467,40.88019049,-73.88213123,Bronx,2023-07-20 15:30:00,Rat Activity
Initial,1,WEST 86 STREET,10024,40.78591056,-73.97084373,Manhattan,2023-08-04 09:20:00,Passed
Compliance,2,PARK AVENUE,10451,40.81188341,-73.93076195,Bronx,2023-08-23 09:35:00,Rat Activity
Initial,2,UNIVERSITY AVENUE,10468,40.86091753,-73.90659719,Bronx,2023-12-20 10:30:00,Rat Activity
Initial,1,WEST 119 STREET,10026,40.80277603,-73.94546167,Manhattan,2023-10-10 10:28:00,Passed
Initial,3,VERNON AVENUE,11206,40.69600052,-73.93707108,Brooklyn,2023-07-03 10:48:00,Passed
Compliance,3,MARTIN L KING PLACE,11206,40.69691488,-73.94879066,Brooklyn,2023-11-21 15:55:00,Rat Activity
Initial,3,EASTERN PARKWAY,11213,40.66904619,-73.93591784,Brooklyn,2023-11-20 10:15:00,Passed
Initial,2,WEST  195 STREET,10468,40.86994719,-73.89948681,Bronx,2023-11-13 14:10:00,Passed
Initial,1,WEST 146 STREET,10031,40.82549462,-73.94617648,Manhattan,2023-05-22 13:00:00,Passed
Initial,3,SARATOGA AVENUE,11233,40.67724326,-73.91642009,Brooklyn,2023-02-17 12:05:00,Rat Activity
Initial,3,TOMPKINS AVENUE,11216,40.68650198,-73.94455475,Brooklyn,2023-10-12 12:53:00,Passed
Initial,3,VERNON AVENUE,11206,40.69503318,-73.94548884,Brooklyn,2023-11-09 14:28:00,Rat Activity
Initial,3,SKILLMAN STREET,11205,40.6924222,-73.95669497,Brooklyn,2023-01-11 14:02:00,Rat Activity
Initial,3,WILLOUGHBY AVENUE,11206,40.69460645,-73.94283866,Brooklyn,2023-10-17 08:00:00,Passed
Initial,1,AVENUE C,10009,40.72251954,-73.97997736,Manhattan,2023-08-09 10:10:00,Rat Activity
Initial,1,2 AVENUE,10003,40.72834778,-73.98783383,Manhattan,2023-05-08 15:49:00,Passed
Compliance,1,MORNINGSIDE AVENUE,10027,40.81041593,-73.95469246,Manhattan,2023-05-31 09:26:00,Rat Activity
Initial,2,COLLEGE AVENUE,10456,40.83647107,-73.91118514,Bronx,2023-07-06 13:20:00,Passed
Initial,1,WEST 83 STREET,10024,40.78354195,-73.97127809,Manhattan,2023-11-02 15:36:00,Passed
Initial,1,EAST 100 STREET,10029,40.78658165,-73.94472386,Manhattan,2023-11-21 09:55:00,Passed
Initial,1,WEST 70 STREET,10023,40.77528718,-73.97783843,Manhattan,2023-07-25 13:34:00,Passed
Initial,2,BRONX PARK EAST,10467,40.85844295,-73.87093423,Bronx,2023-08-03 15:20:00,Passed
Initial,1,WEST 71 STREET,10023,40.77680809,-73.97952048,Manhattan,2023-10-10 16:45:00,Passed
Initial,4,43 STREET,11377,40.73622747,-73.92294563,Queens,2023-08-11 15:33:00,Passed
Compliance,3,EASTERN PARKWAY,11225,40.66981066,-73.94978485,Brooklyn,2023-01-26 09:48:00,Rat Activity
Initial,3,MYRTLE AVENUE,11206,40.69509356,-73.95157244,Brooklyn,2023-07-20 10:43:00,Passed
Initial,1,RUTGERS STREET,10002,40.71295534,-73.9900262,Manhattan,2023-10-05 11:05:00,Passed
Compliance,3,PATCHEN AVENUE,11221,40.69098303,-73.92768228,Brooklyn,2023-12-05 14:46:00,Rat Activity
Compliance,3,HARMAN STREET,11237,40.70208642,-73.91670981,Brooklyn,2023-08-24 13:34:00,Rat Activity
Compliance,3,DEAN STREET,11216,40.67681762,-73.94876289,Brooklyn,2023-11-02 14:13:00,Rat Activity
Compliance,3,DEKALB AVENUE,11221,40.69374061,-73.93064711,Brooklyn,2023-10-13 10:58:00,Rat Activity
Compliance,3,ST FRANCIS PLACE,11216,40.67181439,-73.95661107,Brooklyn,2023-08-11 11:43:00,Passed
Initial,2,JEROME AVENUE,10453,40.8548323,-73.90640333,Bronx,2023-06-13 14:35:00,Rat Activity
Compliance,1,WEST  177 STREET,10033,40.84740407,-73.93722729,Manhattan,2023-11-14 13:55:00,Rat Activity
Compliance,2,COLLEGE AVENUE,10456,40.83435036,-73.91245642,Bronx,2023-08-02 15:07:00,Passed
Initial,3,PACIFIC STREET,11216,40.67752254,-73.94768077,Brooklyn,2023-12-08 09:51:00,Rat Activity
Initial,1,EAST 123 STREET,10035,40.80354706,-73.93948664,Manhattan,2023-06-20 09:55:00,Passed
Initial,1,WEST 20 STREET,10011,40.74278862,-73.99837605,Manhattan,2023-06-28 08:44:00,Passed
Compliance,1,WEST 116 STREET,10026,40.80239684,-73.95060551,Manhattan,2023-10-26 12:32:00,Rat Activity
Initial,1,WEST 122 STREET,10027,40.80629323,-73.94801263,Manhattan,2023-06-01 12:40:00,Rat Activity
Initial,1,SAINT NICHOLAS AVENUE,10031,40.82771615,-73.94264076,Manhattan,2023-03-09 12:50:00,Rat Activity
Initial,1,WEST 107 STREET,10025,40.79888996,-73.95998445,Manhattan,2023-09-01 08:24:00,Passed
Initial,3,MCKIBBIN STREET,11206,40.70507822,-73.94377461,Brooklyn,2023-10-17 11:45:00,Passed
Initial,3,LAFAYETTE AVENUE,11216,40.69034869,-73.9472668,Brooklyn,2023-09-18 11:02:00,Rat Activity
Initial,1,SUFFOLK STREET,10002,40.72083504,-73.98515116,Manhattan,2023-03-13 14:53:00,Passed
Initial,3,UNION STREET,11215,40.67515525,-73.97727338,Brooklyn,2023-03-06 16:00:00,Rat Activity
Initial,1,WEST 127 STREET,10027,40.80859392,-73.94344118,Manhattan,2023-09-06 09:53:00,Passed
Initial,1,LENOX AVENUE,10027,40.80718704,-73.94589513,Manhattan,2023-12-08 14:36:00,Rat Activity
Initial,4,67 ROAD,11375,40.7241305,-73.85429654,Queens,2023-11-28 10:40:00,Rat Activity
Compliance,2,ST LAWRENCE AVENUE,10472,40.82853951,-73.86655513,Bronx,2023-08-25 12:10:00,Rat Activity
Initial,1,COLUMBUS AVENUE,10025,40.8000984,-73.96222672,Manhattan,2023-09-01 11:16:00,Rat Activity
Initial,1,EAST 123 STREET,10035,40.80355807,-73.93955526,Manhattan,2023-08-07 15:25:00,Rat Activity
Initial,1,EAST 7 STREET,10009,40.72620913,-73.98394492,Manhattan,2023-08-09 11:21:00,Passed
Compliance,2,CANAL PLACE,10451,40.814332,-73.92677822,Bronx,2023-08-03 14:00:00,Rat Activity
Initial,2,WEST 174 STREET,10453,40.84657438,-73.91471736,Bronx,2023-11-08 14:16:00,Passed
Compliance,3,SPENCER STREET,11205,40.69160618,-73.95457518,Brooklyn,2023-10-24 14:38:00,Passed
Initial,1,COOPER SQUARE,10003,40.72810928,-73.99096199,Manhattan,2023-06-13 11:38:00,Passed
Initial,5,RICHMOND AVENUE,10312,40.5558216,-74.16872984,Staten Island,2023-05-03 12:00:00,Passed
Compliance,3,STERLING PLACE,11216,40.67288972,-73.95499534,Brooklyn,2023-09-26 16:06:00,Rat Activity
Compliance,2,OGDEN AVENUE,10452,40.84402805,-73.92364073,Bronx,2023-09-01 13:57:00,Rat Activity
Compliance,2,EAST 161 STREET,10451,40.8256789,-73.91881282,Bronx,2023-04-21 07:30:00,Passed
Initial,3,NEW YORK AVENUE,11203,40.65902267,-73.94752954,Brooklyn,2023-06-28 10:20:00,Rat Activity
Initial,2,ALLERTON AVENUE,10469,40.86524825,-73.84516082,Bronx,2023-02-28 12:06:00,Passed
